Date,priceA,priceB,action,abs_return_A,pct_return_A,abs_return_B,pct_return_B,spread,interest_rate,spy,vix,port_val,,,,returns SPY,returns pair
19-03-2002,15.385101,7.964804,hold,0,0,0,0,7.420297,1.67,87.334468,18.16,100000,,,,0,0
20-03-2002,15.25356,7.907204,sell,0,0,0,0,7.346356,1.78,85.691138,18.459999,100000,,,,-0.018816511,0
21-03-2002,15.732371,8.089605,hold,0,0,0,0,7.642766,1.74,85.72832,18.15,99970.359,,,,0.000433907,-0.00029641
22-03-2002,15.779726,8.016004,hold,0,0,0,0,7.763722,1.68,85.542423,17.77,99958.2634,,,,-0.002168443,-0.000120992
25-03-2002,15.811296,7.977604,sell,0,0,0,0,7.833692,1.75,84.479091,18.48,99951.2664,,,,-0.012430464,-6.99992E-05
26-03-2002,15.858651,8.073604,hold,0,0,0,0,7.785047,1.71,84.969856,18.129999,99960.9954,,,,0.005809307,9.73374E-05
27-03-2002,16.000716,8.089605,buy,-74.7156,-0.048982401,18.2401,0.023067699,7.911111,1.69,85.192935,17.700001,99935.7826,,,,0.00262539,-0.000252226
28-03-2002,16.100688,7.961604,hold,0,0,0,0,8.139084,1.77,85.155753,17.4,99912.9853,,,,-0.000436445,-0.000228119
01-04-2002,16.005978,8.003204,hold,0,0,0,0,8.002774,1.88,85.192935,18.73,99926.6163,,,,0.000436635,0.000136429
02-04-2002,16.216444,7.952004,hold,0,0,0,0,8.26444,1.74,84.724476,19.16,99900.4497,,,,-0.005498801,-0.000261858
03-04-2002,16.174351,7.980804,sell,0,0,0,0,8.193547,1.81,84.129603,20.200001,99907.539,,,,-0.007021265,7.09636E-05
04-04-2002,16.248014,8.073604,buy,-43.6718,-0.027620633,9.6,0.012033688,8.17441,1.74,83.780116,19.780001,99911.3664,,,,-0.00415415,3.83094E-05
05-04-2002,16.211182,8.016004,hold,0,0,0,0,8.195178,1.7,83.794991,19.129999,99909.2896,,,,0.000177548,-2.07864E-05
08-04-2002,16.337462,8.044804,sell,0,0,0,0,8.292658,1.72,83.97345,19.610001,99899.5416,,,,0.00212971,-9.75685E-05
09-04-2002,16.263799,8.003204,buy,-8.9448,-0.005530237,2.24,0.002806735,8.260595,1.68,83.386015,19.469999,99905.9542,,,,-0.006995485,6.41905E-05
10-04-2002,16.342724,8.028804,buy,-0.5262,-0.000322082,-1.6,-0.001988861,8.31392,1.73,84.330375,18.190001,99900.6217,,,,0.01132516,-5.33752E-05
11-04-2002,16.326939,7.888004,buy,0,0,0,0,8.438935,1.83,82.23345,20.299999,99900.6217,,,,-0.024865596,0
12-04-2002,16.384817,8.086404,sell,5.7878,0.003544939,-19.84,-0.025152117,8.298413,1.79,82.85063,19.42,99886.5695,,,,0.007505218,-0.000140662
15-04-2002,16.358509,8.012805,buy,0,0,0,0,8.345704,1.84,82.218581,19.82,99886.5695,,,,-0.007628777,0
16-04-2002,16.574237,8.089605,sell,21.5728,0.01318751,-7.68,-0.009584659,8.484632,1.68,84.174217,18.110001,99900.4623,,,,0.023785816,0.000139086
17-04-2002,16.784704,8.064005,hold,0,0,0,0,8.720699,1.73,83.995757,18.43,99900.4623,,,,-0.002120127,0
18-04-2002,16.800489,8.144005,buy,0,0,0,0,8.656484,1.71,83.6314,19.290001,99900.4623,,,,-0.004337802,0
